global_index,file_name,chunk_index,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R)
18,D403__S2__M02_00_000,3,0.40038073351098247,0.40038073351098247,0.24775352237040035,0.24775352237040044,1.1013859510421753,1.1013859510421753,1.7416036128997803,1.7416036128997803,-0.8267128378764997,-0.8267128378764997,6.010331710028615,6.010331710028615,-30.72850221061173,-30.72850221061173,-0.0879532555475872,-0.0879532555475872,0.018367017653354516,0.018367017653354516,-6.174880595124663,-6.174880595124663
20,D403__S2__M03_00_000,1,0.2830299262962031,0.2830299262962031,0.1756615742344591,0.17566157423445916,1.1280059814453125,1.1280059814453125,1.7758934497833252,1.7758934497833252,-0.9987728132230493,-0.9987728132230493,5.429963401511226,5.429963401511226,-24.388891509869346,-24.388891509869346,-0.13395457606362227,-0.13395457606362227,0.09107246140792911,0.09107246140792911,-7.614403730916815,-7.614403730916815
21,D403__S2__M03_00_000,2,0.43623620237018695,0.43623620237018695,0.2792857497018299,0.27928574970183007,1.1037628650665283,1.1037628650665283,1.7484146356582642,1.7484146356582642,-0.8415310478399814,-0.8415310478399814,6.6169725086509645,6.6169725086509645,-29.036250772441697,-29.036250772441697,-0.061842167614626575,-0.061842167614626575,0.025205212601030463,0.025205212601030463,-5.615210117079664,-5.615210117079664
35,D403__S2__M06_00_000,5,0.35419258711500273,0.35419258711500273,0.21948332444843113,0.21948332444843105,1.0406780242919922,1.0406780242919922,0.4236238896846771,0.4236238896846771,-0.9422158390912904,-0.9422158390912904,6.73241294996689,6.73241294996689,-35.19974702182189,-35.19974702182189,-0.23864539626000342,-0.23864539626000342,0.019337152193166684,0.019337152193166684,-11.371821684364695,-11.371821684364695
37,D403__S2__M06_00_000,7,0.3879368592954931,0.3879368592954931,0.28131812465917994,0.2813181246591797,1.0351594686508179,1.0351594686508179,0.29404738545417786,0.29404738545417786,-0.9807901302071548,-0.9807901302071548,7.812058435689513,7.812058435689513,-22.420238870652234,-22.420238870652234,-0.053675675311231595,-0.053675675311231595,0.11554662575165311,0.11554662575165311,-8.50548884183498,-8.50548884183498
56,D403__S2__M08_00_000,3,0.3061821421491914,0.3061821421491914,0.24004814266637137,0.2400481426663713,1.035111904144287,1.035111904144287,0.4443635046482086,0.4443635046482086,-3.5128524732872943,-3.5128524732872943,6.674314446360418,6.674314446360418,-37.19812646368573,-37.19812646368573,-2.0475733031742855,-2.0475733031742855,0.07499821263703191,0.07499821263703191,-21.205620959876136,-21.205620959876136
70,D403__S2__M08_00_000,17,0.20206695830983515,0.20206695830983515,0.11024484187962715,0.11024484187962696,1.0690715312957764,1.0690715312957764,1.089318037033081,1.089318037033081,-1.5249589998637794,-1.5249589998637794,7.44565444764902,7.44565444764902,-38.086233920137346,-38.086233920137346,-0.6477353023633882,-0.6477353023633882,-0.02762284599922142,-0.02762284599922142,-9.662739127464858,-9.662739127464858
101,D403__S2__M09_00_000,12,0.31542825112355516,0.31542825112355516,0.17962608077917672,0.17962608077917677,1.045863151550293,1.045863151550293,0.4292221665382385,0.4292221665382385,-3.2887623410954308,-3.2887623410954308,7.556778374724562,7.556778374724562,-41.92860239182076,-41.92860239182076,-2.12091459317537,-2.12091459317537,-0.08286754466666224,-0.08286754466666224,-19.606778338348573,-19.606778338348573
107,D403__S2__M09_00_000,18,0.3244017412918896,0.3244017412918896,0.15493473326827037,0.15493473326827037,1.044276237487793,1.044276237487793,0.2117653489112854,0.2117653489112854,-5.240237627247942,-5.240237627247942,7.990767486327408,7.990767486327408,-31.500870944676368,-31.500870944676368,-4.285133529694225,-4.285133529694225,0.0785239366449125,0.0785239366449125,-15.103442439829387,-15.103442439829387
124,D403__S2__M10_00_000,6,0.37335278208899886,0.37335278208899886,0.22657547871352496,0.226575478713525,1.0674632787704468,1.0674632787704468,1.3230018615722656,1.3230018615722656,-1.1373209164245917,-1.1373209164245917,6.783527980182729,6.783527980182729,-26.758098777826387,-26.758098777826387,-0.10806037055236813,-0.10806037055236813,0.06082368921487404,0.06082368921487404,-8.546719769964122,-8.546719769964122
